- - -
DATAFLOW SUMMARY
- - -
Name: ComingSoonsTmdb
Run ID: 533
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-07-12T01:34:05.211514+00:00
Finished (UTC): 2026-07-12T01:34:23.912122+00:00
Duration Seconds: 18.7006
Generated At (UTC): 2026-07-12T01:34:23.912257+00:00

SUMMARY COUNTS
- dropped: 14
- mapped: 5
- merged: 1
- skipped: 167

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 1
- enrich|mapped|enriched: 1
- row_filter|skipped|already_added: 147
- row_filter|skipped|past_release_date: 20
- tmdb_choice|mapped|title_first_match: 2
- tmdb_search|dropped|no_candidates: 14
- write|mapped|marked_added: 1
- [skipped] row_filter | title=hexed | key=8b0d5b79-e06b-495e-ab5b-5a07b232d6a0 | reason=already_added | tmdb=
- [skipped] row_filter | title=hollywood to broadway | key=42fd51de-ea08-4fb3-850a-8e41c1735ea9 | reason=already_added | tmdb=
- [skipped] row_filter | title=how to make a killing | key=a6b2f2aa-3213-42c0-8210-e007cbbe88be | reason=already_added | tmdb=
- [skipped] row_filter | title=how to rob a bank | key=a7bae70b-1fd0-4a89-9e3f-f842611df14f | reason=already_added | tmdb=
- [skipped] row_filter | title=i swear | key=6b2fa965-a7b4-43b5-940c-584b6d467ab7 | reason=already_added | tmdb= x2
- [skipped] row_filter | title=i want your sex | key=5eec3749-4829-402e-8f6a-39f010252244 | reason=already_added | tmdb=
- [skipped] row_filter | title=ice age boiling point | key=2d856a90-8fe4-42bb-b131-1b57f3dc4bc3 | reason=already_added | tmdb=
- [skipped] row_filter | title=ice cream man | key=739e1f02-3b32-44d8-97b0-49a818ccfc63 | reason=already_added | tmdb=
- [dropped] tmdb_search | title=in the hell of kabul 13 days 13 nights | key=99049a3c-cd7c-4834-9024-1702d0bfd2e1 | reason=no_candidates | tmdb=
- [skipped] row_filter | title=insidious out of the further | key=fa7827a1-6466-463b-8ca1-aaf337fd6e83 | reason=already_added | tmdb=
- [dropped] tmdb_search | title=investment generation | key=9a3b4d18-dc65-45dc-9ef0-f1d1d19a8e82 | reason=no_candidates | tmdb=
- [dropped] tmdb_search | title=its family fing business il | key=5da00fae-1a80-4f22-a45c-23fd11e52bb4 | reason=no_candidates | tmdb=
- [skipped] row_filter | title=jackass best and last | key=608dd858-1bc5-4a37-acd6-5039bb0df63b | reason=already_added | tmdb=
- [skipped] row_filter | title=jerry maguire | key=f0002149-97d7-4c69-a5cb-f449b1cdb0f1 | reason=already_added | tmdb=
- [skipped] row_filter | title=just an illusion | key=9c85612a-1e11-497b-bf89-bb4fcd8c7557 | reason=already_added | tmdb= x2
- [skipped] row_filter | title=koln 75 | key=0122b474-935b-46a8-bde9-2fa182063f78 | reason=already_added | tmdb=
- [skipped] row_filter | title=kupa rashit | key=47e83a09-c55d-48cb-93f2-42b28ee3d80a | reason=past_release_date | tmdb= x3
- [skipped] row_filter | title=kupa rashit traduis en francais | key=2ec6f810-b744-4715-9010-5f24cf3116ba | reason=past_release_date | tmdb=
- [skipped] row_filter | title=let it rain | key=2fd09e2d-74a4-4af6-b904-5bdbe4872189 | reason=already_added | tmdb=
- [skipped] row_filter | title=magshimim | key=7b60ce54-cb9b-44ad-90db-ba36719434d9 | reason=already_added | tmdb=
- [skipped] row_filter | title=makolet | key=9b0ea295-0aff-4b04-b5f8-9b25a76acf79 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=mama | key=e5827c08-c4e8-4584-a904-25ea22636bed | reason=already_added | tmdb=
- [skipped] row_filter | title=mamma mia | key=be7a120b-f778-4f76-8e0e-9de860b88802 | reason=already_added | tmdb=
- [skipped] row_filter | title=marianas room | key=4be6e5c9-9686-448f-a7ac-31af1a63aa2f | reason=already_added | tmdb=
- [skipped] row_filter | title=marsupilami | key=3df12017-6058-4eb3-ac56-321909793fa1 | reason=already_added | tmdb=
- [skipped] row_filter | title=masha the bear wonder park | key=50c337cb-eb43-42a4-a3bc-37e73be37b86 | reason=already_added | tmdb=
