- - -
DATAFLOW SUMMARY
- - -
Name: CinemathequesTmdb
Run ID: 589
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-08-04T01:48:37.263263+00:00
Finished (UTC): 2026-08-04T02:00:24.430569+00:00
Duration Seconds: 707.1673
Generated At (UTC): 2026-08-04T02:00:24.430746+00:00

SUMMARY COUNTS
- dropped: 15
- mapped: 238
- merged: 226

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 226
- group_filter|dropped|skip_token: 1
- tmdb_choice|mapped|director_match: 10
- tmdb_choice|mapped|fallback_first_candidate: 21
- tmdb_choice|mapped|runtime_match: 4
- tmdb_choice|mapped|title_first_match: 184
- tmdb_choice|mapped|tmdb_fix_id_match: 5
- tmdb_choice|mapped|tmdb_fix_override: 3
- tmdb_search|dropped|no_candidates: 14
- write|mapped|marked_added: 5
- write|mapped|upserted: 6

COMING SOONS DETAILS
- (none)

CINEMATHEQUE GROUP DETAILS
- key=martian | status=mapped | reason=title_first_match | rep_title=the martian | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=286217 | path=title_first_match
- key=sentimental value | status=mapped | reason=title_first_match | rep_title=sentimental value | rows=34 | parsed_year=2025 | candidates=4 | chosen_tmdb=1124566 | path=title_first_match
- key=graduate first | status=mapped | reason=director_match | rep_title=graduate first | rows=2 | parsed_year=1979 | candidates=2 | chosen_tmdb=63214 | path=director_match
- key=american psycho | status=mapped | reason=title_first_match | rep_title=american psycho | rows=1 | parsed_year= | candidates=13 | chosen_tmdb=1359 | path=title_first_match
- key=in bed | status=mapped | reason=title_first_match | rep_title=in bed | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=1030598 | path=title_first_match
- key=west side story | status=mapped | reason=title_first_match | rep_title=west side story | rows=2 | parsed_year= | candidates=15 | chosen_tmdb=511809 | path=title_first_match
- key=red road | status=mapped | reason=title_first_match | rep_title=red road | rows=1 | parsed_year= | candidates=16 | chosen_tmdb=11705 | path=title_first_match
- key=sixth sense | status=mapped | reason=title_first_match | rep_title=the sixth sense | rows=1 | parsed_year= | candidates=17 | chosen_tmdb=745 | path=title_first_match
- key=last enemy | status=mapped | reason=fallback_first_candidate | rep_title=the last enemy | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=1742118 | path=fallback_first_candidate
- key=dream high | status=mapped | reason=title_first_match | rep_title=dream high | rows=7 | parsed_year=2026 | candidates=7 | chosen_tmdb=1569872 | path=title_first_match
- key=mongol | status=mapped | reason=title_first_match | rep_title=mongol | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=1648122 | path=title_first_match
- key=everything everywhere all at once | status=mapped | reason=title_first_match | rep_title=everything everywhere all at once | rows=1 | parsed_year= | candidates=2 | chosen_tmdb=545611 | path=title_first_match
- key=36th chamber of shaolin | status=mapped | reason=title_first_match | rep_title=the 36th chamber of shaolin | rows=2 | parsed_year=1978 | candidates=3 | chosen_tmdb=11841 | path=title_first_match
- key=taxi driver | status=mapped | reason=title_first_match | rep_title=taxi driver | rows=2 | parsed_year= | candidates=20 | chosen_tmdb=103 | path=title_first_match
- key=kung fu panda | status=mapped | reason=title_first_match | rep_title=kung fu panda | rows=1 | parsed_year= | candidates=18 | chosen_tmdb=9502 | path=title_first_match
- key=thief | status=mapped | reason=director_match | rep_title=the thief | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=46187 | path=director_match
- key=georgia okeeffe the brightness of light | status=mapped | reason=title_first_match | rep_title=georgia okeeffe the brightness of light | rows=2 | parsed_year= | candidates=1 | chosen_tmdb=1365258 | path=title_first_match
- key=to our loves | status=mapped | reason=director_match | rep_title=to our loves | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=2282 | path=director_match
- key=goyas ghosts | status=mapped | reason=title_first_match | rep_title=goyas ghosts | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=11515 | path=title_first_match
- key=before the rain | status=mapped | reason=title_first_match | rep_title=before the rain | rows=1 | parsed_year= | candidates=12 | chosen_tmdb=619665 | path=title_first_match
- key=find me ok | status=mapped | reason=runtime_match | rep_title=find me ok | rows=6 | parsed_year=2026 | candidates=1 | chosen_tmdb=1715482 | path=runtime_match
- key=it might even be real | status=mapped | reason=title_first_match | rep_title=it might even be real | rows=3 | parsed_year= | candidates=1 | chosen_tmdb=1654104 | path=title_first_match
- key=dirty dancing | status=mapped | reason=title_first_match | rep_title=dirty dancing | rows=1 | parsed_year=1987 | candidates=15 | chosen_tmdb=88 | path=title_first_match
- key=i am neo | status=mapped | reason=title_first_match | rep_title=i am neo | rows=6 | parsed_year=2026 | candidates=2 | chosen_tmdb=1715485 | path=title_first_match
- key=la linea | status=mapped | reason=fallback_first_candidate | rep_title=la linea | rows=2 | parsed_year= | candidates=20 | chosen_tmdb=21878 | path=fallback_first_candidate
- key=living large | status=mapped | reason=title_first_match | rep_title=living large | rows=2 | parsed_year=2024 | candidates=3 | chosen_tmdb=947512 | path=title_first_match
- key=missing part | status=mapped | reason=title_first_match | rep_title=a missing part | rows=18 | parsed_year=2024 | candidates=4 | chosen_tmdb=1021643 | path=title_first_match
- key=bands visit | status=mapped | reason=title_first_match | rep_title=the bands visit | rows=1 | parsed_year=2007 | candidates=2 | chosen_tmdb=5259 | path=title_first_match
- key=aftersun | status=mapped | reason=title_first_match | rep_title=aftersun | rows=1 | parsed_year=2022 | candidates=4 | chosen_tmdb=965150 | path=title_first_match
- key=laurence anyways | status=mapped | reason=title_first_match | rep_title=laurence anyways | rows=1 | parsed_year=2012 | candidates=1 | chosen_tmdb=110160 | path=title_first_match
- key=mama | status=mapped | reason=title_first_match | rep_title=mama | rows=24 | parsed_year=2025 | candidates=24 | chosen_tmdb=1483616 | path=title_first_match
- key=crossing | status=mapped | reason=title_first_match | rep_title=the crossing | rows=2 | parsed_year= | candidates=20 | chosen_tmdb=1051410 | path=title_first_match
- key=straight story | status=mapped | reason=title_first_match | rep_title=the straight story | rows=2 | parsed_year=1999 | candidates=1 | chosen_tmdb=404 | path=title_first_match
- key=where are you dear general | status=dropped | reason=no_candidates | rep_title=where are you dear general | rows=3 | parsed_year= | candidates=0 | chosen_tmdb= | path=
