- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 489
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-06-15T01:29:58.112231+00:00
Finished (UTC): 2026-06-15T01:36:23.964649+00:00
Duration Seconds: 385.8524
Generated At (UTC): 2026-06-15T01:36:23.964918+00:00

SUMMARY COUNTS
- dropped: 13
- mapped: 100
- merged: 78

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 78
- group_filter|dropped|skip_token: 1
- tmdb_choice|mapped|director_match: 2
- tmdb_choice|mapped|fallback_first_candidate: 10
- tmdb_choice|mapped|runtime_match: 8
- tmdb_choice|mapped|title_first_match: 60
- tmdb_choice|mapped|tmdb_fix_id_match: 3
- tmdb_choice|mapped|tmdb_fix_override: 4
- tmdb_search|dropped|no_candidates: 12
- write|mapped|marked_added: 6
- write|mapped|upserted: 7

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=four love letters | status=mapped | reason=fallback_first_candidate | rep_title=four love letters | rows=10 | parsed_year=2026 | candidates=1 | chosen_tmdb=1293244 | path=fallback_first_candidate
- key=saltiz | status=mapped | reason=runtime_match | rep_title=saltiz | rows=199 | parsed_year=2026 | candidates=1 | chosen_tmdb=1696940 | path=runtime_match
- key=fifth element | status=mapped | reason=title_first_match | rep_title=the fifth element | rows=9 | parsed_year=1997 | candidates=2 | chosen_tmdb=18 | path=title_first_match
- key=jerry maguire | status=mapped | reason=title_first_match | rep_title=jerry maguire | rows=27 | parsed_year=1996 | candidates=1 | chosen_tmdb=9390 | path=title_first_match
- key=five baloons | status=dropped | reason=no_candidates | rep_title=five baloons | rows=2 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=tuner | status=mapped | reason=tmdb_fix_id_match | rep_title=tuner | rows=1 | parsed_year=2025 | candidates=17 | chosen_tmdb=1340206 | path=tmdb_fix_id_match
- key=comedy bar daniel cohen | status=dropped | reason=no_candidates | rep_title=comedy bar daniel cohen | rows=3 | parsed_year=2024 | candidates=0 | chosen_tmdb= | path=
- key=bohemian rhapsody | status=mapped | reason=title_first_match | rep_title=bohemian rhapsody | rows=2 | parsed_year=2018 | candidates=6 | chosen_tmdb=424694 | path=title_first_match
- key=hot cinema | status=dropped | reason=no_candidates | rep_title=hot cinema | rows=3 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=substance | status=mapped | reason=title_first_match | rep_title=the substance | rows=1 | parsed_year=2024 | candidates=13 | chosen_tmdb=933260 | path=title_first_match
- key=pretty woman | status=mapped | reason=title_first_match | rep_title=pretty woman | rows=1 | parsed_year=1990 | candidates=12 | chosen_tmdb=114 | path=title_first_match
- key=forrest gump | status=mapped | reason=title_first_match | rep_title=forrest gump | rows=1 | parsed_year=1994 | candidates=2 | chosen_tmdb=13 | path=title_first_match
- key=wonder | status=mapped | reason=title_first_match | rep_title=wonder | rows=1 | parsed_year=2017 | candidates=24 | chosen_tmdb=406997 | path=title_first_match
- key=muhamad naama | status=dropped | reason=no_candidates | rep_title=muhamad naama | rows=2 | parsed_year=2024 | candidates=0 | chosen_tmdb= | path=
- key=passanger | status=mapped | reason=fallback_first_candidate | rep_title=passanger | rows=1 | parsed_year=2026 | candidates=1 | chosen_tmdb=1637792 | path=fallback_first_candidate
- key=pulp fiction | status=mapped | reason=title_first_match | rep_title=pulp fiction | rows=1 | parsed_year=1994 | candidates=7 | chosen_tmdb=680 | path=title_first_match
- key=super mario galaxy movie | status=mapped | reason=fallback_first_candidate | rep_title=super mario galaxy movie | rows=11 | parsed_year=2026 | candidates=1 | chosen_tmdb=1226863 | path=fallback_first_candidate
- key=rapito | status=mapped | reason=fallback_first_candidate | rep_title=rapito | rows=4 | parsed_year=2023 | candidates=14 | chosen_tmdb=801112 | path=fallback_first_candidate
- key=movieretro | status=dropped | reason=no_candidates | rep_title=movieretro | rows=10 | parsed_year=1991 | candidates=0 | chosen_tmdb= | path=
- key=kpop demon hunters singalong | status=mapped | reason=runtime_match | rep_title=kpop demon hunters singalong | rows=13 | parsed_year=2025 | candidates=1 | chosen_tmdb=803796 | path=runtime_match
- key=star wars the mandalorian and grogu | status=mapped | reason=fallback_first_candidate | rep_title=star wars the mandalorian and grogu | rows=2 | parsed_year=2026 | candidates=1 | chosen_tmdb=1228710 | path=fallback_first_candidate
- key=fleak | status=mapped | reason=title_first_match | rep_title=fleak | rows=3 | parsed_year= | candidates=1 | chosen_tmdb=680770 | path=title_first_match
- key=just an illusion | status=mapped | reason=title_first_match | rep_title=just an illusion | rows=6 | parsed_year=2026 | candidates=3 | chosen_tmdb=1404684 | path=title_first_match
- key=five seconds | status=mapped | reason=title_first_match | rep_title=five seconds | rows=5 | parsed_year=2025 | candidates=20 | chosen_tmdb=1368519 | path=title_first_match
- key=i swear | status=mapped | reason=title_first_match | rep_title=i swear | rows=8 | parsed_year=2025 | candidates=20 | chosen_tmdb=1317149 | path=title_first_match
- key=invite | status=mapped | reason=title_first_match | rep_title=the invite | rows=5 | parsed_year=2026 | candidates=20 | chosen_tmdb=950028 | path=title_first_match
- key=backrooms | status=merged | reason=deduped_into_tmdb | rep_title= | rows=151 | parsed_year= | candidates=0 | chosen_tmdb=1083381 | path=deduped_into_tmdb
- key=disclosure day | status=merged | reason=deduped_into_tmdb | rep_title= | rows=385 | parsed_year= | candidates=0 | chosen_tmdb=1275779 | path=deduped_into_tmdb
- key=super mario galaxy | status=merged | reason=deduped_into_tmdb | rep_title= | rows=66 | parsed_year= | candidates=0 | chosen_tmdb=1226863 | path=deduped_into_tmdb
- key=12 | status=merged | reason=deduped_into_tmdb | rep_title= | rows=13 | parsed_year= | candidates=0 | chosen_tmdb=1566665 | path=deduped_into_tmdb
