- - -
DATAFLOW SUMMARY
- - -
Name: ComingSoonsTmdb
Run ID: 461
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-06-02T01:26:12.120151+00:00
Finished (UTC): 2026-06-02T01:26:31.787229+00:00
Duration Seconds: 19.6671
Generated At (UTC): 2026-06-02T01:26:31.788659+00:00

SUMMARY COUNTS
- dropped: 12
- mapped: 11
- merged: 3
- skipped: 142

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 3
- enrich|mapped|enriched: 3
- row_filter|skipped|already_added: 79
- row_filter|skipped|past_release_date: 62
- row_filter|skipped|skip_token: 1
- tmdb_choice|mapped|director_match: 4
- tmdb_choice|mapped|fallback_first_candidate: 2
- tmdb_search|dropped|no_candidates: 12
- [skipped] row_filter | title=kidnapped aka rapito | key=5961cfdc-0071-442a-9112-9382c71455bd | reason=past_release_date | tmdb=
- [skipped] row_filter | title=kpop demon hunters singalong | key=95084925-14c2-40fb-b80a-fca3ea53b24c | reason=already_added | tmdb=
- [dropped] tmdb_search | title=kupa rashit | key=f2ac6b7e-c794-4fc0-b8aa-0afcaf729550 | reason=no_candidates | tmdb=
- [skipped] row_filter | title=la femme nikita | key=72f64445-5082-4068-9f4c-2131287f3b57 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=la grazia | key=01cd7a5f-a01f-4d61-a188-efa8cf476c4c | reason=already_added | tmdb=
- [skipped] row_filter | title=la grazia | key=c48d2585-7352-4274-9199-e0e619cdb125 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=late shift | key=c0512c78-d581-4143-80fd-1d663bc42581 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=let it rain | key=2fd09e2d-74a4-4af6-b904-5bdbe4872189 | reason=already_added | tmdb=
- [skipped] row_filter | title=masters of the universe | key=8f53e14d-57d2-4d05-ac23-f2e4cf079cd5 | reason=already_added | tmdb=
- [skipped] row_filter | title=michael | key=94af87ad-414b-4b10-8819-6a487c3fb53a | reason=already_added | tmdb=
- [skipped] row_filter | title=minions monsters | key=ef696922-e461-43f6-83af-b769a5332c18 | reason=already_added | tmdb=
- [skipped] row_filter | title=moana | key=7e05822c-d772-48a9-8a7b-4864c53233de | reason=already_added | tmdb=
- [skipped] row_filter | title=moana live action | key=7e582958-f8b3-4f08-824d-4ecf7c2fc3e1 | reason=already_added | tmdb= x2
- [skipped] row_filter | title=mortal kombat ii | key=5dd2ffde-9777-43b1-b8a2-9a8e8eaeee63 | reason=past_release_date | tmdb= x2
- [skipped] row_filter | title=mother mary | key=33764e47-1cb9-460b-ac03-d2fb9197b363 | reason=past_release_date | tmdb=
- [dropped] tmdb_search | title=movieretro | key=2223e8d1-b4b7-4a62-a2c3-e39038e1ba7d | reason=no_candidates | tmdb= x2
- [skipped] row_filter | title=my friend eva | key=51232ca8-7ed8-42b3-8a1d-3873c50d54b2 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=night of the hunted | key=bc190853-ec48-4457-9f1a-1a45104fc97a | reason=past_release_date | tmdb=
- [skipped] row_filter | title=nino | key=cec091bd-d5d0-4c5f-868c-b33fc6ca67cd | reason=past_release_date | tmdb=
- [skipped] row_filter | title=no signal | key=f8f42f69-73d8-4aab-b3b8-b6da07f87453 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=not without hope | key=09a8fb35-192c-4663-a638-b700d638724b | reason=already_added | tmdb=
- [skipped] row_filter | title=obsession | key=e207cacd-6de9-4ff0-9afd-9ce5b72482f6 | reason=already_added | tmdb=
- [skipped] row_filter | title=one night only | key=5319585d-d3ca-4b10-b73d-e55649f16c95 | reason=already_added | tmdb=
- [skipped] row_filter | title=passenger | key=45af6a53-fad3-47bf-a7b3-7ebfa3a29f01 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=pirates of the caribbean the curse of the black p | key=c1a41716-c319-4df7-ad11-b40b9d200f2b | reason=already_added | tmdb=
- [dropped] tmdb_search | title=planet eng cro | key=0ae7a89b-1138-480b-abe5-b6532fd9e43d | reason=no_candidates | tmdb=
- [skipped] row_filter | title=planet final | key=62ead1b3-889a-43f2-b53d-cd340fa55f7c | reason=already_added | tmdb=
- [dropped] tmdb_search | title=planet nor fra | key=5f29dc25-f6c7-45bd-ac33-8945926889e7 | reason=no_candidates | tmdb=
- [dropped] tmdb_search | title=planet semi final | key=9b6551f8-4be9-4a4e-9a05-cd259e5b53c2 | reason=no_candidates | tmdb=
