- - -
DATAFLOW SUMMARY
- - -
Name: ComingSoonsTmdb
Run ID: 622
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-09-04T11:27:34.272481+00:00
Finished (UTC): 2026-09-04T11:29:12.292232+00:00
Duration Seconds: 98.0198
Generated At (UTC): 2026-09-04T11:29:12.292311+00:00

SUMMARY COUNTS
- dropped: 11
- mapped: 70
- merged: 22
- skipped: 143

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 22
- enrich|mapped|enriched: 22
- row_filter|skipped|already_added: 134
- row_filter|skipped|past_release_date: 7
- row_filter|skipped|skip_token: 2
- tmdb_choice|mapped|fallback_first_candidate: 18
- tmdb_choice|mapped|runtime_match: 6
- tmdb_choice|mapped|title_first_match: 22
- tmdb_search|dropped|no_candidates: 11
- write|mapped|marked_added: 1
- write|mapped|upserted: 1

- [skipped] row_filter | title=mamma mia | key=be7a120b-f778-4f76-8e0e-9de860b88802 | reason=already_added | tmdb=
- [skipped] row_filter | title=marsupilami | key=3df12017-6058-4eb3-ac56-321909793fa1 | reason=already_added | tmdb=
- [skipped] row_filter | title=matchmaking 3 | key=3865b953-135c-49ee-b451-30897507f4d3 | reason=already_added | tmdb=
- [merged] dedupe | title=moss freud | key=503d2e91-90f8-4843-ad87-37a77d15977b | reason=deduped_into_tmdb | tmdb=1086247
- [mapped] enrich | title=Moss & Freud | key=503d2e91-90f8-4843-ad87-37a77d15977b | reason=enriched | tmdb=1086247
- [mapped] tmdb_choice | title=moss freud | key=503d2e91-90f8-4843-ad87-37a77d15977b | reason=fallback_first_candidate | tmdb=1086247 x2
- [skipped] row_filter | title=movieretro | key=8c99e408-36a5-4366-8ec4-4f273ae58cd0 | reason=past_release_date | tmdb= x2
- [dropped] tmdb_search | title=movieretro | key=d2a4a853-878c-4c87-9e04-68b71ab60908 | reason=no_candidates | tmdb=
- [skipped] row_filter | title=mutiny | key=fcbae84f-e34b-4484-beb2-171688b472a0 | reason=already_added | tmdb=
- [merged] dedupe | title=muzzle city of wolves | key=cbd2af29-9f06-4e99-8f97-4959f9fa7086 | reason=deduped_into_tmdb | tmdb=1439112
- [mapped] enrich | title=Muzzle: City of Wolves | key=cbd2af29-9f06-4e99-8f97-4959f9fa7086 | reason=enriched | tmdb=1439112
