- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 601
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-08-14T01:39:14.314233+00:00
Finished (UTC): 2026-08-14T01:46:24.480967+00:00
Duration Seconds: 430.1667
Generated At (UTC): 2026-08-14T01:46:24.481116+00:00

SUMMARY COUNTS
- dropped: 18
- mapped: 127
- merged: 100

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 100
- group_filter|dropped|skip_token: 4
- tmdb_choice|mapped|director_match: 4
- tmdb_choice|mapped|fallback_first_candidate: 19
- tmdb_choice|mapped|runtime_match: 5
- tmdb_choice|mapped|title_first_match: 69
- tmdb_choice|mapped|tmdb_fix_id_match: 8
- tmdb_choice|mapped|tmdb_fix_override: 8
- tmdb_search|dropped|no_candidates: 14
- write|mapped|marked_added: 6
- write|mapped|upserted: 8

COMING SOONS DETAILS
- (none)

CINEMATHEQUE GROUP DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=evil dead burn | status=mapped | reason=title_first_match | rep_title=evil dead burn | rows=2 | parsed_year=2026 | candidates=1 | chosen_tmdb=1212763 | path=title_first_match
- key=et the extra terrestrial | status=mapped | reason=title_first_match | rep_title=et the extra terrestrial | rows=2 | parsed_year=1982 | candidates=8 | chosen_tmdb=601 | path=title_first_match
- key=shmulikipod | status=dropped | reason=no_candidates | rep_title=shmulikipod | rows=2 | parsed_year=2024 | candidates=0 | chosen_tmdb= | path=
- key=hot cinema | status=dropped | reason=no_candidates | rep_title=hot cinema | rows=4 | parsed_year=2026 | candidates=0 | chosen_tmdb= | path=
- key=roni sason | status=dropped | reason=no_candidates | rep_title=roni sason | rows=1 | parsed_year=2024 | candidates=0 | chosen_tmdb= | path=
- key=yoni kletzel ryan williams leave the goats al | status=dropped | reason=no_candidates | rep_title=yoni kletzel ryan williams leave the goats al | rows=1 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=hill 338 | status=mapped | reason=title_first_match | rep_title=hill 338 | rows=188 | parsed_year=2026 | candidates=1 | chosen_tmdb=1693984 | path=title_first_match
- key=magic faraway tree | status=mapped | reason=title_first_match | rep_title=the magic faraway tree | rows=22 | parsed_year=2026 | candidates=4 | chosen_tmdb=1140521 | path=title_first_match
- key=magshimim | status=mapped | reason=fallback_first_candidate | rep_title=magshimim | rows=76 | parsed_year=2026 | candidates=1 | chosen_tmdb=1569872 | path=fallback_first_candidate
- key=masha the bear wonder park | status=mapped | reason=fallback_first_candidate | rep_title=masha the bear wonder park | rows=23 | parsed_year=2024 | candidates=1 | chosen_tmdb=1388440 | path=fallback_first_candidate
- key=michael | status=mapped | reason=title_first_match | rep_title=michael | rows=6 | parsed_year=2026 | candidates=20 | chosen_tmdb=936075 | path=title_first_match
- key=mama | status=mapped | reason=title_first_match | rep_title=mama | rows=12 | parsed_year=2025 | candidates=24 | chosen_tmdb=1483616 | path=title_first_match
- key=jackass best and last | status=mapped | reason=title_first_match | rep_title=jackass best and last | rows=3 | parsed_year=2026 | candidates=1 | chosen_tmdb=1612018 | path=title_first_match
- key=grease | status=mapped | reason=title_first_match | rep_title=grease | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=621 | path=title_first_match
- key=colonia 75 | status=mapped | reason=fallback_first_candidate | rep_title=colonia 75 | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=1171153 | path=fallback_first_candidate
