- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 453
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-05-26T15:52:05.607715+00:00
Finished (UTC): 2026-05-26T15:59:11.762439+00:00
Duration Seconds: 426.1547
Generated At (UTC): 2026-05-26T15:59:11.762659+00:00

SUMMARY COUNTS
- dropped: 9
- mapped: 101
- merged: 80

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 80
- tmdb_choice|mapped|director_match: 5
- tmdb_choice|mapped|fallback_first_candidate: 10
- tmdb_choice|mapped|runtime_match: 6
- tmdb_choice|mapped|title_first_match: 61
- tmdb_choice|mapped|tmdb_fix_id_match: 2
- tmdb_choice|mapped|tmdb_fix_override: 4
- tmdb_search|dropped|no_candidates: 9
- write|mapped|marked_added: 6
- write|mapped|upserted: 7

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=five baloons | status=dropped | reason=no_candidates | rep_title=five baloons | rows=2 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=bohemian rhapsody | status=mapped | reason=title_first_match | rep_title=bohemian rhapsody | rows=11 | parsed_year=2018 | candidates=6 | chosen_tmdb=424694 | path=title_first_match
- key=lior duvdevani | status=dropped | reason=no_candidates | rep_title=lior duvdevani | rows=1 | parsed_year=2024 | candidates=0 | chosen_tmdb= | path=
- key=haute couture | status=mapped | reason=title_first_match | rep_title=haute couture | rows=1 | parsed_year=2021 | candidates=14 | chosen_tmdb=719463 | path=title_first_match
- key=american hina | status=mapped | reason=fallback_first_candidate | rep_title=american hina | rows=1 | parsed_year=2026 | candidates=1 | chosen_tmdb=1683714 | path=fallback_first_candidate
- key=abba | status=mapped | reason=title_first_match | rep_title=abba | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=1309201 | path=title_first_match
- key=pretty woman | status=mapped | reason=title_first_match | rep_title=pretty woman | rows=1 | parsed_year=1990 | candidates=12 | chosen_tmdb=114 | path=title_first_match
- key=freuds last session | status=mapped | reason=title_first_match | rep_title=freuds last session | rows=11 | parsed_year=2023 | candidates=1 | chosen_tmdb=1025491 | path=title_first_match
- key=muhamad naama | status=dropped | reason=no_candidates | rep_title=muhamad naama | rows=2 | parsed_year=2024 | candidates=0 | chosen_tmdb= | path=
- key=shell | status=mapped | reason=title_first_match | rep_title=shell | rows=32 | parsed_year=2024 | candidates=24 | chosen_tmdb=1365490 | path=title_first_match
- key=night of the hunted | status=mapped | reason=title_first_match | rep_title=night of the hunted | rows=9 | parsed_year=2023 | candidates=3 | chosen_tmdb=1160003 | path=title_first_match
- key=mandalorian grogu | status=mapped | reason=runtime_match | rep_title=the mandalorian grogu | rows=220 | parsed_year= | candidates=1 | chosen_tmdb=1228710 | path=runtime_match
- key=four letters of love | status=mapped | reason=director_match | rep_title=four letters of love | rows=98 | parsed_year=2024 | candidates=1 | chosen_tmdb=1293244 | path=director_match
- key=passenger | status=mapped | reason=title_first_match | rep_title=passenger | rows=355 | parsed_year=2026 | candidates=20 | chosen_tmdb=1368314 | path=title_first_match
- key=kidnapped | status=mapped | reason=title_first_match | rep_title=kidnapped | rows=45 | parsed_year= | candidates=20 | chosen_tmdb=801112 | path=title_first_match
- key=ilanot | status=mapped | reason=runtime_match | rep_title=ilanot | rows=37 | parsed_year=2026 | candidates=1 | chosen_tmdb=1663161 | path=runtime_match
- key=subservience | status=mapped | reason=title_first_match | rep_title=subservience | rows=25 | parsed_year=2024 | candidates=2 | chosen_tmdb=1064028 | path=title_first_match
- key=drama | status=mapped | reason=title_first_match | rep_title=the drama | rows=28 | parsed_year=2026 | candidates=20 | chosen_tmdb=1325734 | path=title_first_match
