- - -
DATAFLOW SUMMARY
- - -
Name: ComingSoonsTmdb
Run ID: 572
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-07-24T01:50:14.205296+00:00
Finished (UTC): 2026-07-24T01:50:35.128761+00:00
Duration Seconds: 20.9235
Generated At (UTC): 2026-07-24T01:50:35.130525+00:00

SUMMARY COUNTS
- dropped: 12
- mapped: 8
- merged: 2
- skipped: 164

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 2
- enrich|mapped|enriched: 2
- row_filter|skipped|already_added: 111
- row_filter|skipped|past_release_date: 52
- row_filter|skipped|skip_token: 1
- tmdb_choice|mapped|title_first_match: 4
- tmdb_search|dropped|no_candidates: 12
- write|mapped|marked_added: 1
- [skipped] row_filter | title=movieretro | key=2223e8d1-b4b7-4a62-a2c3-e39038e1ba7d | reason=past_release_date | tmdb= x2
- [dropped] tmdb_search | title=movieretro | key=19e7ab85-887f-496b-9f4c-887629ce3a69 | reason=no_candidates | tmdb= x2
- [skipped] row_filter | title=mutiny | key=fcbae84f-e34b-4484-beb2-171688b472a0 | reason=already_added | tmdb=
- [skipped] row_filter | title=muzzle city of wolves | key=e4551867-f412-471b-8cb3-d370155d988c | reason=already_added | tmdb=
- [skipped] row_filter | title=my one and only | key=325f1c49-94bf-437d-ac3f-c053e7e41c5e | reason=already_added | tmdb=
- [skipped] row_filter | title=one night only | key=5319585d-d3ca-4b10-b73d-e55649f16c95 | reason=already_added | tmdb=
- [merged] dedupe | title=other mommy | key=c3819b14-5c74-4075-b491-4b0088938049 | reason=deduped_into_tmdb | tmdb=1400837
- [mapped] enrich | title=Other Mommy | key=c3819b14-5c74-4075-b491-4b0088938049 | reason=enriched | tmdb=1400837
- [mapped] tmdb_choice | title=other mommy | key=c3819b14-5c74-4075-b491-4b0088938049 | reason=title_first_match | tmdb=1400837 x2
- [skipped] row_filter | title=party | key=804ebc8b-8fa9-4364-9cda-ab5cacd41a1e | reason=already_added | tmdb=
- [skipped] row_filter | title=paw patrol the dino movie | key=47f44038-0348-4a33-82a4-b6b254eaac5e | reason=already_added | tmdb=
- [skipped] row_filter | title=planet final | key=62ead1b3-889a-43f2-b53d-cd340fa55f7c | reason=past_release_date | tmdb=
