- - -
DATAFLOW SUMMARY
- - -
Name: ComingSoonsTmdb
Run ID: 614
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-08-27T01:40:05.088984+00:00
Finished (UTC): 2026-08-27T01:40:46.973991+00:00
Duration Seconds: 41.885
Generated At (UTC): 2026-08-27T01:40:46.974218+00:00

SUMMARY COUNTS
- dropped: 11
- mapped: 23
- merged: 7
- skipped: 138

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 7
- enrich|mapped|enriched: 7
- row_filter|skipped|already_added: 130
- row_filter|skipped|past_release_date: 8
- tmdb_choice|mapped|fallback_first_candidate: 2
- tmdb_choice|mapped|title_first_match: 12
- tmdb_search|dropped|no_candidates: 11
- write|mapped|marked_added: 1
- [dropped] tmdb_search | title=movieretro | key=8c99e408-36a5-4366-8ec4-4f273ae58cd0 | reason=no_candidates | tmdb= x3
- [skipped] row_filter | title=mutiny | key=fcbae84f-e34b-4484-beb2-171688b472a0 | reason=already_added | tmdb=
- [skipped] row_filter | title=my one and only | key=325f1c49-94bf-437d-ac3f-c053e7e41c5e | reason=already_added | tmdb=
- [skipped] row_filter | title=noga | key=58a8f7c6-ea3e-47f3-af06-39baad79884d | reason=already_added | tmdb=
- [merged] dedupe | title=not alone | key=8795c525-a416-49fc-a0db-0e76be03d8d6 | reason=deduped_into_tmdb | tmdb=1718699
- [mapped] enrich | title=Not Alone | key=8795c525-a416-49fc-a0db-0e76be03d8d6 | reason=enriched | tmdb=1718699
- [mapped] tmdb_choice | title=not alone | key=8795c525-a416-49fc-a0db-0e76be03d8d6 | reason=title_first_match | tmdb=1718699 x2
- [skipped] row_filter | title=omaha | key=6560c4b5-a625-4f52-a4a7-1eca98f6f003 | reason=already_added | tmdb=
- [skipped] row_filter | title=one night only | key=529ad868-8654-4f66-9078-fff57a7e2a62 | reason=already_added | tmdb= x2
- [skipped] row_filter | title=other mommy | key=c3819b14-5c74-4075-b491-4b0088938049 | reason=already_added | tmdb=
- [skipped] row_filter | title=party | key=804ebc8b-8fa9-4364-9cda-ab5cacd41a1e | reason=already_added | tmdb=
- [skipped] row_filter | title=paw patrol the dino movie | key=47f44038-0348-4a33-82a4-b6b254eaac5e | reason=already_added | tmdb= x3
- [skipped] row_filter | title=planetshoetime naama | key=b6088028-2246-44a7-a959-905eaa931865 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=practical magic 2 | key=b80a711b-4aba-49f1-80c1-0b34943e555d | reason=already_added | tmdb=
- [skipped] row_filter | title=primavera | key=f99f33cc-f1a1-43ea-a7c3-f2129dc4929b | reason=already_added | tmdb=
- [skipped] row_filter | title=raksha bandhan | key=ce495b7f-6c8a-44c8-bedf-ef8ef179ea57 | reason=already_added | tmdb=
