- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 452
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-05-26T01:25:16.622502+00:00
Finished (UTC): 2026-05-26T01:32:38.526283+00:00
Duration Seconds: 441.9038
Generated At (UTC): 2026-05-26T01:32:38.526496+00:00

SUMMARY COUNTS
- dropped: 9
- mapped: 100
- merged: 81

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 81
- tmdb_choice|mapped|director_match: 5
- tmdb_choice|mapped|fallback_first_candidate: 10
- tmdb_choice|mapped|runtime_match: 7
- tmdb_choice|mapped|title_first_match: 59
- tmdb_choice|mapped|tmdb_fix_id_match: 2
- tmdb_choice|mapped|tmdb_fix_override: 4
- tmdb_search|dropped|no_candidates: 9
- write|mapped|marked_added: 6
- write|mapped|upserted: 7

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=billie eilish hit me hard and soft the tour 3d | status=mapped | reason=runtime_match | rep_title=billie eilish hit me hard and soft the tour 3d | rows=9 | parsed_year=2026 | candidates=1 | chosen_tmdb=1515899 | path=runtime_match
- key=solo mio | status=mapped | reason=title_first_match | rep_title=solo mio | rows=11 | parsed_year=2026 | candidates=3 | chosen_tmdb=1291335 | path=title_first_match
- key=pirates of the caribbean the curse of the black p | status=mapped | reason=runtime_match | rep_title=pirates of the caribbean the curse of the black p | rows=1 | parsed_year=2003 | candidates=2 | chosen_tmdb=22 | path=runtime_match
- key=muhamad naama | status=dropped | reason=no_candidates | rep_title=muhamad naama | rows=2 | parsed_year=2024 | candidates=0 | chosen_tmdb= | path=
- key=pretty woman | status=mapped | reason=title_first_match | rep_title=pretty woman | rows=1 | parsed_year=1990 | candidates=12 | chosen_tmdb=114 | path=title_first_match
- key=abba | status=mapped | reason=title_first_match | rep_title=abba | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=1309201 | path=title_first_match
- key=adventures of priscilla queen of the desert | status=mapped | reason=title_first_match | rep_title=the adventures of priscilla queen of the desert | rows=7 | parsed_year=1994 | candidates=1 | chosen_tmdb=2759 | path=title_first_match
- key=five baloons | status=dropped | reason=no_candidates | rep_title=five baloons | rows=2 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=comedy bar daniel cohen | status=dropped | reason=no_candidates | rep_title=comedy bar daniel cohen | rows=1 | parsed_year=2024 | candidates=0 | chosen_tmdb= | path=
- key=bad boy and me 2 | status=mapped | reason=director_match | rep_title=the bad boy and me 2 | rows=124 | parsed_year=2025 | candidates=2 | chosen_tmdb=1429520 | path=director_match
- key=shell | status=mapped | reason=title_first_match | rep_title=shell | rows=35 | parsed_year=2024 | candidates=24 | chosen_tmdb=1365490 | path=title_first_match
- key=lior duvdevani | status=dropped | reason=no_candidates | rep_title=lior duvdevani | rows=1 | parsed_year=2024 | candidates=0 | chosen_tmdb= | path=
- key=mother mary | status=mapped | reason=title_first_match | rep_title=mother mary | rows=27 | parsed_year=2026 | candidates=16 | chosen_tmdb=1102883 | path=title_first_match
- key=june and john | status=mapped | reason=title_first_match | rep_title=june and john | rows=40 | parsed_year=2025 | candidates=2 | chosen_tmdb=1216571 | path=title_first_match
- key=four letters of love | status=mapped | reason=director_match | rep_title=four letters of love | rows=86 | parsed_year=2024 | candidates=1 | chosen_tmdb=1293244 | path=director_match
- key=kidnapped aka rapito | status=dropped | reason=no_candidates | rep_title=kidnapped aka rapito | rows=55 | parsed_year=2023 | candidates=0 | chosen_tmdb= | path=
