- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 505
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-06-27T01:43:40.080147+00:00
Finished (UTC): 2026-06-27T01:49:35.378606+00:00
Duration Seconds: 355.2985
Generated At (UTC): 2026-06-27T01:49:35.378820+00:00

SUMMARY COUNTS
- dropped: 11
- mapped: 89
- merged: 67

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 67
- tmdb_choice|mapped|director_match: 5
- tmdb_choice|mapped|fallback_first_candidate: 9
- tmdb_choice|mapped|runtime_match: 6
- tmdb_choice|mapped|title_first_match: 52
- tmdb_choice|mapped|tmdb_fix_id_match: 3
- tmdb_choice|mapped|tmdb_fix_override: 1
- tmdb_search|dropped|no_candidates: 11
- write|mapped|marked_added: 6
- write|mapped|upserted: 7

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=la grazia | status=mapped | reason=title_first_match | rep_title=la grazia | rows=12 | parsed_year=2025 | candidates=12 | chosen_tmdb=1397364 | path=title_first_match
- key=minions monsters english | status=dropped | reason=no_candidates | rep_title=minions monsters english | rows=7 | parsed_year=2026 | candidates=0 | chosen_tmdb= | path=
- key=12th fail | status=mapped | reason=title_first_match | rep_title=12th fail | rows=1 | parsed_year=2023 | candidates=1 | chosen_tmdb=1163258 | path=title_first_match
- key=rental family | status=mapped | reason=title_first_match | rep_title=rental family | rows=1 | parsed_year=2025 | candidates=4 | chosen_tmdb=1208348 | path=title_first_match
- key=per amore di una donna | status=mapped | reason=director_match | rep_title=per amore di una donna | rows=106 | parsed_year=2025 | candidates=1 | chosen_tmdb=1143204 | path=director_match
- key=heaven and earth | status=mapped | reason=runtime_match | rep_title=heaven and earth | rows=89 | parsed_year= | candidates=20 | chosen_tmdb=1598462 | path=runtime_match
- key=animel farm | status=dropped | reason=no_candidates | rep_title=animel farm | rows=19 | parsed_year=2025 | candidates=0 | chosen_tmdb= | path=
- key=fleak | status=mapped | reason=title_first_match | rep_title=fleak | rows=6 | parsed_year=2025 | candidates=1 | chosen_tmdb=680770 | path=title_first_match
- key=no signal | status=mapped | reason=title_first_match | rep_title=no signal | rows=15 | parsed_year=2025 | candidates=20 | chosen_tmdb=1284787 | path=title_first_match
- key=mandalorian and grogu | status=mapped | reason=title_first_match | rep_title=the mandalorian and grogu | rows=22 | parsed_year=2026 | candidates=1 | chosen_tmdb=1228710 | path=title_first_match
- key=spongebob movie search for squarepants | status=mapped | reason=title_first_match | rep_title=the spongebob movie search for squarepants | rows=9 | parsed_year=2025 | candidates=1 | chosen_tmdb=991494 | path=title_first_match
- key=fantasy life | status=mapped | reason=director_match | rep_title=fantasy life | rows=6 | parsed_year=2025 | candidates=5 | chosen_tmdb=1421977 | path=director_match
- key=zootopia 2 | status=mapped | reason=title_first_match | rep_title=zootopia 2 | rows=6 | parsed_year=2025 | candidates=1 | chosen_tmdb=1084242 | path=title_first_match
- key=david | status=mapped | reason=title_first_match | rep_title=david | rows=14 | parsed_year=2025 | candidates=24 | chosen_tmdb=1167307 | path=title_first_match
- key=jungle beat 2 the past | status=mapped | reason=title_first_match | rep_title=jungle beat 2 the past | rows=1 | parsed_year=2025 | candidates=1 | chosen_tmdb=1453180 | path=title_first_match
- key=madly | status=mapped | reason=title_first_match | rep_title=madly | rows=2 | parsed_year=2025 | candidates=20 | chosen_tmdb=1500272 | path=title_first_match
- key=spider man brand new day | status=mapped | reason=title_first_match | rep_title=spider man brand new day | rows=231 | parsed_year=2026 | candidates=1 | chosen_tmdb=969681 | path=title_first_match
- key=super mario galaxy movie | status=mapped | reason=fallback_first_candidate | rep_title=super mario galaxy movie | rows=16 | parsed_year=2026 | candidates=1 | chosen_tmdb=1226863 | path=fallback_first_candidate
- key=cocktail 2 | status=mapped | reason=title_first_match | rep_title=cocktail 2 | rows=13 | parsed_year=2026 | candidates=2 | chosen_tmdb=1392469 | path=title_first_match
- key=choral | status=mapped | reason=title_first_match | rep_title=the choral | rows=5 | parsed_year=2025 | candidates=11 | chosen_tmdb=1262815 | path=title_first_match
- key=movieretro | status=dropped | reason=no_candidates | rep_title=movieretro | rows=5 | parsed_year=1991 | candidates=0 | chosen_tmdb= | path=
- key=star wars the mandalorian and grogu | status=mapped | reason=fallback_first_candidate | rep_title=star wars the mandalorian and grogu | rows=1 | parsed_year=2026 | candidates=1 | chosen_tmdb=1228710 | path=fallback_first_candidate
- key=edward scissorhands | status=mapped | reason=title_first_match | rep_title=edward scissorhands | rows=10 | parsed_year=1990 | candidates=3 | chosen_tmdb=162 | path=title_first_match
- key=batman | status=mapped | reason=title_first_match | rep_title=batman | rows=28 | parsed_year=1989 | candidates=20 | chosen_tmdb=268 | path=title_first_match
- key=jerry maguire | status=mapped | reason=title_first_match | rep_title=jerry maguire | rows=27 | parsed_year=1996 | candidates=1 | chosen_tmdb=9390 | path=title_first_match
- key=saltiz | status=mapped | reason=runtime_match | rep_title=saltiz | rows=223 | parsed_year=2026 | candidates=1 | chosen_tmdb=1696940 | path=runtime_match
- key=taste | status=mapped | reason=runtime_match | rep_title=the taste | rows=10 | parsed_year=2025 | candidates=22 | chosen_tmdb=1291712 | path=runtime_match
- key=et the extra terrestrial | status=mapped | reason=title_first_match | rep_title=et the extra terrestrial | rows=28 | parsed_year=1982 | candidates=8 | chosen_tmdb=601 | path=title_first_match
- key=reminders of him | status=mapped | reason=title_first_match | rep_title=reminders of him | rows=6 | parsed_year=2026 | candidates=1 | chosen_tmdb=1367642 | path=title_first_match
- key=four love letters | status=mapped | reason=fallback_first_candidate | rep_title=four love letters | rows=6 | parsed_year=2026 | candidates=1 | chosen_tmdb=1293244 | path=fallback_first_candidate
- key=comedy bar daniel cohen | status=dropped | reason=no_candidates | rep_title=comedy bar daniel cohen | rows=3 | parsed_year=2024 | candidates=0 | chosen_tmdb= | path=
- key=moss freud | status=mapped | reason=fallback_first_candidate | rep_title=moss freud | rows=1 | parsed_year=2025 | candidates=1 | chosen_tmdb=1086247 | path=fallback_first_candidate
- key=devil wears prada | status=mapped | reason=tmdb_fix_id_match | rep_title=the devil wears prada | rows=1 | parsed_year=2018 | candidates=4 | chosen_tmdb=1314481 | path=tmdb_fix_id_match
- key=hollywood to broadway | status=mapped | reason=fallback_first_candidate | rep_title=hollywood to broadway | rows=1 | parsed_year= | candidates=2 | chosen_tmdb=95554 | path=fallback_first_candidate
- key=forrest gump | status=mapped | reason=title_first_match | rep_title=forrest gump | rows=1 | parsed_year=1994 | candidates=2 | chosen_tmdb=13 | path=title_first_match
- key=hot cinema | status=dropped | reason=no_candidates | rep_title=hot cinema | rows=1 | parsed_year= | candidates=0 | chosen_tmdb= | path=
