- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 516
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-07-07T01:36:41.336574+00:00
Finished (UTC): 2026-07-07T01:41:53.444709+00:00
Duration Seconds: 312.1081
Generated At (UTC): 2026-07-07T01:41:53.444913+00:00

SUMMARY COUNTS
- dropped: 10
- mapped: 76
- merged: 59

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 59
- tmdb_choice|mapped|director_match: 7
- tmdb_choice|mapped|fallback_first_candidate: 7
- tmdb_choice|mapped|runtime_match: 3
- tmdb_choice|mapped|title_first_match: 43
- tmdb_choice|mapped|tmdb_fix_id_match: 2
- tmdb_choice|mapped|tmdb_fix_override: 3
- tmdb_search|dropped|no_candidates: 10
- write|mapped|marked_added: 5
- write|mapped|upserted: 6

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=super mario galaxy movie | status=mapped | reason=fallback_first_candidate | rep_title=super mario galaxy movie | rows=2 | parsed_year=2026 | candidates=1 | chosen_tmdb=1226863 | path=fallback_first_candidate
- key=minions monsters | status=merged | reason=deduped_into_tmdb | rep_title= | rows=1325 | parsed_year= | candidates=0 | chosen_tmdb=1315772 | path=deduped_into_tmdb
- key=power ballad | status=merged | reason=deduped_into_tmdb | rep_title= | rows=143 | parsed_year= | candidates=0 | chosen_tmdb=1284016 | path=deduped_into_tmdb
- key=backrooms | status=merged | reason=deduped_into_tmdb | rep_title= | rows=35 | parsed_year= | candidates=0 | chosen_tmdb=1083381 | path=deduped_into_tmdb
- key=mama | status=merged | reason=deduped_into_tmdb | rep_title= | rows=124 | parsed_year= | candidates=0 | chosen_tmdb=1483616 | path=deduped_into_tmdb
- key=how to make a killing | status=merged | reason=deduped_into_tmdb | rep_title= | rows=204 | parsed_year= | candidates=0 | chosen_tmdb=467905 | path=deduped_into_tmdb
- key=super mario galaxy | status=merged | reason=deduped_into_tmdb | rep_title= | rows=41 | parsed_year= | candidates=0 | chosen_tmdb=1226863 | path=deduped_into_tmdb
- key=per amore di una donna | status=merged | reason=deduped_into_tmdb | rep_title= | rows=53 | parsed_year= | candidates=0 | chosen_tmdb=1143204 | path=deduped_into_tmdb
- key=supergirl | status=merged | reason=deduped_into_tmdb | rep_title= | rows=182 | parsed_year= | candidates=0 | chosen_tmdb=1081003 | path=deduped_into_tmdb
- key=disclosure day | status=merged | reason=deduped_into_tmdb | rep_title= | rows=89 | parsed_year= | candidates=0 | chosen_tmdb=1275779 | path=deduped_into_tmdb
- key=youthful grace | status=merged | reason=deduped_into_tmdb | rep_title= | rows=73 | parsed_year= | candidates=0 | chosen_tmdb=1319168 | path=deduped_into_tmdb
- key=hoppers | status=merged | reason=deduped_into_tmdb | rep_title= | rows=14 | parsed_year= | candidates=0 | chosen_tmdb=1327819 | path=deduped_into_tmdb
- key=ties that bind us | status=merged | reason=deduped_into_tmdb | rep_title= | rows=76 | parsed_year= | candidates=0 | chosen_tmdb=1096642 | path=deduped_into_tmdb
- key=jackass best and last | status=merged | reason=deduped_into_tmdb | rep_title= | rows=150 | parsed_year= | candidates=0 | chosen_tmdb=1612018 | path=deduped_into_tmdb
- key=evil dead burn | status=merged | reason=deduped_into_tmdb | rep_title= | rows=236 | parsed_year= | candidates=0 | chosen_tmdb=1212763 | path=deduped_into_tmdb
- key=saltiz | status=merged | reason=deduped_into_tmdb | rep_title= | rows=70 | parsed_year= | candidates=0 | chosen_tmdb=1696940 | path=deduped_into_tmdb
- key=toy story 5 | status=merged | reason=deduped_into_tmdb | rep_title= | rows=849 | parsed_year= | candidates=0 | chosen_tmdb=1084244 | path=deduped_into_tmdb
- key=invite | status=merged | reason=deduped_into_tmdb | rep_title= | rows=231 | parsed_year= | candidates=0 | chosen_tmdb=950028 | path=deduped_into_tmdb
- key=drivers ed | status=merged | reason=deduped_into_tmdb | rep_title= | rows=114 | parsed_year= | candidates=0 | chosen_tmdb=1398050 | path=deduped_into_tmdb
- key=sheep detectives | status=merged | reason=deduped_into_tmdb | rep_title= | rows=9 | parsed_year= | candidates=0 | chosen_tmdb=1301421 | path=deduped_into_tmdb
- key=black box | status=merged | reason=deduped_into_tmdb | rep_title= | rows=40 | parsed_year= | candidates=0 | chosen_tmdb=1321008 | path=deduped_into_tmdb
- key=scary movie | status=merged | reason=deduped_into_tmdb | rep_title= | rows=30 | parsed_year= | candidates=0 | chosen_tmdb=1273221 | path=deduped_into_tmdb
- key=sentimental value | status=merged | reason=deduped_into_tmdb | rep_title= | rows=150 | parsed_year= | candidates=0 | chosen_tmdb=1124566 | path=deduped_into_tmdb
- key=colours of time | status=merged | reason=deduped_into_tmdb | rep_title= | rows=78 | parsed_year= | candidates=0 | chosen_tmdb=1235304 | path=deduped_into_tmdb
- key=sarah bernhardt la divine | status=merged | reason=deduped_into_tmdb | rep_title= | rows=68 | parsed_year= | candidates=0 | chosen_tmdb=1228322 | path=deduped_into_tmdb
- key=tuner | status=merged | reason=deduped_into_tmdb | rep_title= | rows=121 | parsed_year= | candidates=0 | chosen_tmdb=1340206 | path=deduped_into_tmdb
- key=heaven and earth | status=merged | reason=deduped_into_tmdb | rep_title= | rows=49 | parsed_year= | candidates=0 | chosen_tmdb=41845 | path=deduped_into_tmdb
- key=michael | status=merged | reason=deduped_into_tmdb | rep_title= | rows=64 | parsed_year= | candidates=0 | chosen_tmdb=936075 | path=deduped_into_tmdb
- key=mandalorian and grogu | status=merged | reason=deduped_into_tmdb | rep_title= | rows=11 | parsed_year= | candidates=0 | chosen_tmdb=1228710 | path=deduped_into_tmdb
- key=planet final | status=merged | reason=deduped_into_tmdb | rep_title= | rows=6 | parsed_year= | candidates=0 | chosen_tmdb=16067 | path=deduped_into_tmdb
- key=i swear | status=merged | reason=deduped_into_tmdb | rep_title= | rows=155 | parsed_year= | candidates=0 | chosen_tmdb=1317149 | path=deduped_into_tmdb
- key=david | status=merged | reason=deduped_into_tmdb | rep_title= | rows=2 | parsed_year= | candidates=0 | chosen_tmdb=1167307 | path=deduped_into_tmdb
- key=koln 75 | status=merged | reason=deduped_into_tmdb | rep_title= | rows=35 | parsed_year= | candidates=0 | chosen_tmdb=1171153 | path=deduped_into_tmdb
- key=spongebob movie search for squarepants | status=merged | reason=deduped_into_tmdb | rep_title= | rows=6 | parsed_year= | candidates=0 | chosen_tmdb=991494 | path=deduped_into_tmdb
- key=bambi the reckoning | status=merged | reason=deduped_into_tmdb | rep_title= | rows=41 | parsed_year= | candidates=0 | chosen_tmdb=1049942 | path=deduped_into_tmdb
- key=project hail mary | status=merged | reason=deduped_into_tmdb | rep_title= | rows=9 | parsed_year= | candidates=0 | chosen_tmdb=687163 | path=deduped_into_tmdb
- key=no signal | status=merged | reason=deduped_into_tmdb | rep_title= | rows=12 | parsed_year= | candidates=0 | chosen_tmdb=1284787 | path=deduped_into_tmdb
- key=zootopia 2 | status=merged | reason=deduped_into_tmdb | rep_title= | rows=2 | parsed_year= | candidates=0 | chosen_tmdb=1084242 | path=deduped_into_tmdb
- key=fleak | status=merged | reason=deduped_into_tmdb | rep_title= | rows=1 | parsed_year= | candidates=0 | chosen_tmdb=680770 | path=deduped_into_tmdb
- key=goat | status=merged | reason=deduped_into_tmdb | rep_title= | rows=9 | parsed_year= | candidates=0 | chosen_tmdb=1297842 | path=deduped_into_tmdb
- key=last whale singer | status=merged | reason=deduped_into_tmdb | rep_title= | rows=8 | parsed_year= | candidates=0 | chosen_tmdb=677558 | path=deduped_into_tmdb
- key=spiked | status=merged | reason=deduped_into_tmdb | rep_title= | rows=10 | parsed_year= | candidates=0 | chosen_tmdb=1470334 | path=deduped_into_tmdb
- key=fantasy life | status=merged | reason=deduped_into_tmdb | rep_title= | rows=2 | parsed_year= | candidates=0 | chosen_tmdb=1421977 | path=deduped_into_tmdb
- key=three men and vilma | status=merged | reason=deduped_into_tmdb | rep_title= | rows=22 | parsed_year= | candidates=0 | chosen_tmdb=1340922 | path=deduped_into_tmdb
- key=madly | status=merged | reason=deduped_into_tmdb | rep_title= | rows=2 | parsed_year= | candidates=0 | chosen_tmdb=1500272 | path=deduped_into_tmdb
- key=jungle beat 2 the past | status=merged | reason=deduped_into_tmdb | rep_title= | rows=2 | parsed_year= | candidates=0 | chosen_tmdb=1453180 | path=deduped_into_tmdb
- key=la grazia | status=merged | reason=deduped_into_tmdb | rep_title= | rows=16 | parsed_year= | candidates=0 | chosen_tmdb=1397364 | path=deduped_into_tmdb
- key=just an illusion | status=merged | reason=deduped_into_tmdb | rep_title= | rows=2 | parsed_year= | candidates=0 | chosen_tmdb=1404684 | path=deduped_into_tmdb
- key=rental family | status=merged | reason=deduped_into_tmdb | rep_title= | rows=1 | parsed_year= | candidates=0 | chosen_tmdb=1208348 | path=deduped_into_tmdb
- key=dream high | status=merged | reason=deduped_into_tmdb | rep_title= | rows=2 | parsed_year= | candidates=0 | chosen_tmdb=1569872 | path=deduped_into_tmdb
- key=spiderman brand new day | status=merged | reason=deduped_into_tmdb | rep_title= | rows=271 | parsed_year= | candidates=0 | chosen_tmdb=969681 | path=deduped_into_tmdb
- key=get out | status=merged | reason=deduped_into_tmdb | rep_title= | rows=57 | parsed_year= | candidates=0 | chosen_tmdb=1279493 | path=deduped_into_tmdb
- key=passenger | status=merged | reason=deduped_into_tmdb | rep_title= | rows=2 | parsed_year= | candidates=0 | chosen_tmdb=1368314 | path=deduped_into_tmdb
- key=great lillian hall | status=merged | reason=deduped_into_tmdb | rep_title= | rows=2 | parsed_year= | candidates=0 | chosen_tmdb=800513 | path=deduped_into_tmdb
- key=animal farm | status=merged | reason=deduped_into_tmdb | rep_title= | rows=3 | parsed_year= | candidates=0 | chosen_tmdb=539745 | path=deduped_into_tmdb
- key=four letters of love | status=merged | reason=deduped_into_tmdb | rep_title= | rows=2 | parsed_year= | candidates=0 | chosen_tmdb=1293244 | path=deduped_into_tmdb
- key=ilanot | status=merged | reason=deduped_into_tmdb | rep_title= | rows=2 | parsed_year= | candidates=0 | chosen_tmdb=1663161 | path=deduped_into_tmdb
- key=tmdb_fix:1108427 | status=merged | reason=deduped_into_tmdb | rep_title= | rows=201 | parsed_year= | candidates=0 | chosen_tmdb=1108427 | path=deduped_into_tmdb
