- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 491
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-06-17T05:27:27.981378+00:00
Finished (UTC): 2026-06-17T05:35:01.669778+00:00
Duration Seconds: 453.6884
Generated At (UTC): 2026-06-17T05:35:01.670024+00:00

SUMMARY COUNTS
- dropped: 12
- mapped: 95
- merged: 79

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 79
- group_filter|dropped|skip_token: 1
- tmdb_choice|mapped|director_match: 4
- tmdb_choice|mapped|fallback_first_candidate: 9
- tmdb_choice|mapped|runtime_match: 6
- tmdb_choice|mapped|title_first_match: 59
- tmdb_choice|mapped|tmdb_fix_id_match: 2
- tmdb_choice|mapped|tmdb_fix_override: 4
- tmdb_search|dropped|no_candidates: 11
- write|mapped|marked_added: 5
- write|mapped|upserted: 6

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=cocktail 2 | status=mapped | reason=title_first_match | rep_title=cocktail 2 | rows=18 | parsed_year=2026 | candidates=2 | chosen_tmdb=1392469 | path=title_first_match
- key=star wars the mandalorian and grogu | status=mapped | reason=fallback_first_candidate | rep_title=star wars the mandalorian and grogu | rows=1 | parsed_year=2026 | candidates=1 | chosen_tmdb=1228710 | path=fallback_first_candidate
- key=rapito | status=mapped | reason=fallback_first_candidate | rep_title=rapito | rows=1 | parsed_year=2023 | candidates=14 | chosen_tmdb=801112 | path=fallback_first_candidate
- key=saltiz | status=mapped | reason=runtime_match | rep_title=saltiz | rows=199 | parsed_year=2026 | candidates=1 | chosen_tmdb=1696940 | path=runtime_match
- key=batman | status=mapped | reason=title_first_match | rep_title=batman | rows=28 | parsed_year=1989 | candidates=20 | chosen_tmdb=268 | path=title_first_match
- key=et the extra terrestrial | status=mapped | reason=title_first_match | rep_title=et the extra terrestrial | rows=28 | parsed_year=1982 | candidates=8 | chosen_tmdb=601 | path=title_first_match
- key=reminders of him | status=mapped | reason=title_first_match | rep_title=reminders of him | rows=11 | parsed_year=2026 | candidates=1 | chosen_tmdb=1367642 | path=title_first_match
- key=four love letters | status=mapped | reason=fallback_first_candidate | rep_title=four love letters | rows=9 | parsed_year=2026 | candidates=1 | chosen_tmdb=1293244 | path=fallback_first_candidate
- key=taste | status=mapped | reason=runtime_match | rep_title=the taste | rows=14 | parsed_year=2025 | candidates=22 | chosen_tmdb=1291712 | path=runtime_match
- key=jerry maguire | status=mapped | reason=title_first_match | rep_title=jerry maguire | rows=27 | parsed_year=1996 | candidates=1 | chosen_tmdb=9390 | path=title_first_match
