- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 496
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-06-19T01:43:20.970645+00:00
Finished (UTC): 2026-06-19T01:49:09.936608+00:00
Duration Seconds: 348.966
Generated At (UTC): 2026-06-19T01:49:09.936822+00:00

SUMMARY COUNTS
- dropped: 12
- mapped: 91
- merged: 72

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 72
- tmdb_choice|mapped|director_match: 4
- tmdb_choice|mapped|fallback_first_candidate: 7
- tmdb_choice|mapped|runtime_match: 4
- tmdb_choice|mapped|title_first_match: 60
- tmdb_choice|mapped|tmdb_fix_id_match: 2
- tmdb_choice|mapped|tmdb_fix_override: 1
- tmdb_search|dropped|no_candidates: 12
- write|mapped|marked_added: 6
- write|mapped|upserted: 7

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=spongebob movie search for squarepants | status=mapped | reason=title_first_match | rep_title=the spongebob movie search for squarepants | rows=3 | parsed_year=2025 | candidates=1 | chosen_tmdb=991494 | path=title_first_match
- key=hokum | status=mapped | reason=title_first_match | rep_title=hokum | rows=1 | parsed_year=2026 | candidates=6 | chosen_tmdb=1430077 | path=title_first_match
- key=spider man brand new day | status=mapped | reason=title_first_match | rep_title=spider man brand new day | rows=231 | parsed_year=2026 | candidates=1 | chosen_tmdb=969681 | path=title_first_match
- key=super mario galaxy movie | status=mapped | reason=fallback_first_candidate | rep_title=super mario galaxy movie | rows=32 | parsed_year=2026 | candidates=1 | chosen_tmdb=1226863 | path=fallback_first_candidate
- key=movieretro | status=dropped | reason=no_candidates | rep_title=movieretro | rows=10 | parsed_year=1984 | candidates=0 | chosen_tmdb= | path=
- key=choral | status=mapped | reason=title_first_match | rep_title=the choral | rows=7 | parsed_year=2025 | candidates=11 | chosen_tmdb=1262815 | path=title_first_match
- key=saltiz | status=mapped | reason=runtime_match | rep_title=saltiz | rows=216 | parsed_year=2026 | candidates=1 | chosen_tmdb=1696940 | path=runtime_match
- key=jerry maguire | status=mapped | reason=title_first_match | rep_title=jerry maguire | rows=27 | parsed_year=1996 | candidates=1 | chosen_tmdb=9390 | path=title_first_match
- key=five baloons | status=dropped | reason=no_candidates | rep_title=five baloons | rows=2 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=batman | status=mapped | reason=title_first_match | rep_title=batman | rows=28 | parsed_year=1989 | candidates=20 | chosen_tmdb=268 | path=title_first_match
- key=edward scissorhands | status=mapped | reason=title_first_match | rep_title=edward scissorhands | rows=10 | parsed_year=1990 | candidates=3 | chosen_tmdb=162 | path=title_first_match
- key=et the extra terrestrial | status=mapped | reason=title_first_match | rep_title=et the extra terrestrial | rows=28 | parsed_year=1982 | candidates=8 | chosen_tmdb=601 | path=title_first_match
- key=fifth element | status=mapped | reason=title_first_match | rep_title=the fifth element | rows=9 | parsed_year=1997 | candidates=2 | chosen_tmdb=18 | path=title_first_match
- key=hot cinema | status=dropped | reason=no_candidates | rep_title=hot cinema | rows=2 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=comedy bar daniel cohen | status=dropped | reason=no_candidates | rep_title=comedy bar daniel cohen | rows=3 | parsed_year=2024 | candidates=0 | chosen_tmdb= | path=
- key=muhamad naama | status=dropped | reason=no_candidates | rep_title=muhamad naama | rows=1 | parsed_year=2024 | candidates=0 | chosen_tmdb= | path=
- key=taste | status=mapped | reason=runtime_match | rep_title=the taste | rows=14 | parsed_year=2025 | candidates=22 | chosen_tmdb=1291712 | path=runtime_match
- key=four love letters | status=mapped | reason=fallback_first_candidate | rep_title=four love letters | rows=9 | parsed_year=2026 | candidates=1 | chosen_tmdb=1293244 | path=fallback_first_candidate
- key=nino | status=mapped | reason=title_first_match | rep_title=nino | rows=1 | parsed_year=2025 | candidates=24 | chosen_tmdb=1313229 | path=title_first_match
- key=shell | status=mapped | reason=title_first_match | rep_title=shell | rows=2 | parsed_year=2024 | candidates=24 | chosen_tmdb=1365490 | path=title_first_match
- key=pulp fiction | status=mapped | reason=title_first_match | rep_title=pulp fiction | rows=1 | parsed_year=1994 | candidates=7 | chosen_tmdb=680 | path=title_first_match
- key=bohemian rhapsody | status=mapped | reason=title_first_match | rep_title=bohemian rhapsody | rows=1 | parsed_year=2018 | candidates=6 | chosen_tmdb=424694 | path=title_first_match
- key=hollywood to broadway | status=mapped | reason=fallback_first_candidate | rep_title=hollywood to broadway | rows=1 | parsed_year= | candidates=2 | chosen_tmdb=95554 | path=fallback_first_candidate
- key=pretty woman | status=mapped | reason=title_first_match | rep_title=pretty woman | rows=1 | parsed_year=1990 | candidates=12 | chosen_tmdb=114 | path=title_first_match
