- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 490
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-06-16T01:28:40.087199+00:00
Finished (UTC): 2026-06-16T01:35:22.479377+00:00
Duration Seconds: 402.3922
Generated At (UTC): 2026-06-16T01:35:22.479653+00:00

SUMMARY COUNTS
- dropped: 13
- mapped: 108
- merged: 86

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 86
- group_filter|dropped|skip_token: 1
- tmdb_choice|mapped|director_match: 3
- tmdb_choice|mapped|fallback_first_candidate: 10
- tmdb_choice|mapped|runtime_match: 7
- tmdb_choice|mapped|title_first_match: 67
- tmdb_choice|mapped|tmdb_fix_id_match: 3
- tmdb_choice|mapped|tmdb_fix_override: 5
- tmdb_search|dropped|no_candidates: 12
- write|mapped|marked_added: 6
- write|mapped|upserted: 7

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=12 | status=merged | reason=deduped_into_tmdb | rep_title= | rows=13 | parsed_year= | candidates=0 | chosen_tmdb=1566665 | path=deduped_into_tmdb
- key=disclosure day | status=merged | reason=deduped_into_tmdb | rep_title= | rows=446 | parsed_year= | candidates=0 | chosen_tmdb=1275779 | path=deduped_into_tmdb
- key=spiked | status=merged | reason=deduped_into_tmdb | rep_title= | rows=25 | parsed_year= | candidates=0 | chosen_tmdb=1470334 | path=deduped_into_tmdb
- key=in the grey | status=merged | reason=deduped_into_tmdb | rep_title= | rows=51 | parsed_year= | candidates=0 | chosen_tmdb=1122573 | path=deduped_into_tmdb
- key=colours of time | status=merged | reason=deduped_into_tmdb | rep_title= | rows=180 | parsed_year= | candidates=0 | chosen_tmdb=1235304 | path=deduped_into_tmdb
- key=cuz youre ugly | status=merged | reason=deduped_into_tmdb | rep_title= | rows=55 | parsed_year= | candidates=0 | chosen_tmdb=1177748 | path=deduped_into_tmdb
- key=project hail mary | status=merged | reason=deduped_into_tmdb | rep_title= | rows=19 | parsed_year= | candidates=0 | chosen_tmdb=687163 | path=deduped_into_tmdb
- key=marianas room | status=merged | reason=deduped_into_tmdb | rep_title= | rows=24 | parsed_year= | candidates=0 | chosen_tmdb=1000828 | path=deduped_into_tmdb
- key=super mario galaxy | status=merged | reason=deduped_into_tmdb | rep_title= | rows=90 | parsed_year= | candidates=0 | chosen_tmdb=1226863 | path=deduped_into_tmdb
- key=ilanot | status=merged | reason=deduped_into_tmdb | rep_title= | rows=68 | parsed_year= | candidates=0 | chosen_tmdb=1663161 | path=deduped_into_tmdb
- key=hoppers | status=merged | reason=deduped_into_tmdb | rep_title= | rows=34 | parsed_year= | candidates=0 | chosen_tmdb=1327819 | path=deduped_into_tmdb
- key=great lillian hall | status=merged | reason=deduped_into_tmdb | rep_title= | rows=114 | parsed_year= | candidates=0 | chosen_tmdb=800513 | path=deduped_into_tmdb
